,text,label
33,"El adquirir nuevas ideas el poder ser evaluada mi conducta empresarial con otras visiones y optener así la mejora constante.
Ya que aunque mucho se sepa sobre algo siempre es necesaria las visiones externas para lograr perfeccionar sistemas y agilizar los logros.",0
34,"Motivasi saya karena ingin belajar banyak hal, saling sharing sesama pebisnis, menambah ilmu terkait dunia usaha/kerja, dan mengetahui adanya peluang masa depan",1
35,networking to get new point of view for marketing my digital development services (berjejaring dan mendapatkan sudut pandang baru untuk memasarkan produk jasa pengembangan digital),0
36,networking to get new point of view for marketing my digital development services (berjejaring dan mendapatkan sudut pandang baru untuk memasarkan produk jasa pengembangan digital),0
37,Motivasi nya ingin mengembangkan usaha saya kepada taraf yang lebih baik dan sehat,1
38,Motivation,1
39,networking to get new point of view for marketing my digital development services (berjejaring dan mendapatkan sudut pandang baru untuk memasarkan produk jasa pengembangan digital),0
40,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
41,"I could benefit from some outside perspective on how to package my services and, fine-tune my ideas on a niche.",0
42,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
43,"I do the work of my internet by what I am  self-motivated,try all my best effort to do it with enthusiasm and make the best of it .",1
44,"Motivasi saya karena ingin belajar banyak hal, saling sharing sesama pebisnis, menambah ilmu terkait dunia usaha/kerja, dan mengetahui adanya peluang masa depan",1
45,Apoyo en la búsqueda de capital inversionista,0
46,Motivasi saya mengikuti mentoring ini supaya saya mendapat mentor agar saya bisa dibantu untuk dapat arahan Usaha yang akan dijalankan akan segera direalisasikan.,1
47,To boost inner confidence.,1
48,ampliar mi red de alianzas y partners,0
49,Motivasi saya ingin dapat merealisasikan bisnis ini dan harapannya dengan mentor saya bisa dapat memulai dan mengerti akan dunia bisnis.,1
50,"I could benefit from some outside perspective on how to package my services and, fine-tune my ideas on a niche.",0
51,Mentor ahli Selling-Marketing-Branding,0
52,Aprender de la experiencia de otros,0
53,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
54,Motivasi nya ingin mengembangkan usaha saya kepada taraf yang lebih baik dan sehat,1
55,I'm stuck!,0
56,Membangun networking dan juga sharing pengalaman,0
57,Ingin mendapatkan ilmu marketing online,0
58,"More interested in venture partners, at this time.",0
59,Hardwork and devotion,1
60,Su visión externa,0
61,Hardwork and devotion,1
62,ampliar mi red de alianzas y partners,0
63,"Tener experiencia, retroalimentación y generar relaciones.",0
64,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
65,Mendapatkan ilmu marketing dan melek dunia digital,0
66,Requiero de alguien fuera de mi ciclo que me apoye con una visión distinta a fortalecer este emprendimiento,0
67,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
68,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
69,Guidance and frustration,0
70,"I would love to have a mentor help me grow and see things I don't know. I am internally motivated and not afraid to work hard but I hate spinning  my wheels with mistakes that through trial and error I learn were totally foolish or maybe weren't completely wrong but I don't know how to surgically examine the taken action and make the 1 or 2 tweaks necessary, doing that alone with limited or no results weighs on you over time no matter how gritty you are... that being said I am not going to stop. I will find a way and I know this attitude will help connect me the right people.",1
71,escuchar un punto de vista externo,0
72,Motivasi saya mengikuti mentoring ini supaya saya mendapat mentor agar saya bisa dibantu untuk dapat arahan Usaha yang akan dijalankan akan segera direalisasikan.,1
73,No sé por dónde empezar con mis finanzas y cómo impulsar mis ventas.,0
74,escuchar un punto de vista externo,0
75,"Improvisation, I believe there is always another way(s) of achieving dreams even without the necessary ready made facility",0
76,Ingin mendapatkan ilmu marketing online,0
77,"No tengo experiencia, no resultados",0
78,C'est d apprendre plus et le networking est important,0
79,Ingin mendapatkan ilmu marketing online,0
80,Hardwork and devotion,1
81,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
82,escuchar un punto de vista externo,0
83,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
84,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
85,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
86,Para adquirir experiencia en el mercado.,0
87,No sé por dónde empezar con mis finanzas y cómo impulsar mis ventas.,0
88,ampliar mi red de alianzas y partners,0
89,No sé por dónde empezar con mis finanzas y cómo impulsar mis ventas.,0
90,Necesito apoyo ya que soy nuevo en el tema del emprendimiento,1
91,"I could benefit from some outside perspective on how to package my services and, fine-tune my ideas on a niche.",0
92,"My motivation is based on the fact that we want to be successful and the only way this can be achieved is by learning from those that have succeeded in our line of business.
We need their knowledge and expertise.",1
93,Motivasi saya ingin dapat merealisasikan bisnis ini dan harapannya dengan mentor saya bisa dapat memulai dan mengerti akan dunia bisnis.,1
94,escuchar un punto de vista externo,0
95,Hardwork and devotion,1
96,Motivasi nya ingin mengembangkan usaha saya kepada taraf yang lebih baik dan sehat,1
97,"I could benefit from some outside perspective on how to package my services and, fine-tune my ideas on a niche.",0
98,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
99,Apoyo en la búsqueda de capital inversionista,0
100,escuchar un punto de vista externo,0
101,"More interested in venture partners, at this time.",0
102,"Integrity, Hardwork, Time Consciousn and Determination",1
103,Apoyo en la búsqueda de capital inversionista,0
104,Me gustaría tener una opinión externa acerca de mi negocio.,0
105,Apoyo en la búsqueda de capital inversionista,0
106,Más que un mentor busco explorar sinergias,0
107,"""I COME TO YOU NOT BRINGING MONEY, ONLY BRINGING OPPORTUNITIES""",0
108,Hardwork and devotion,1
109,"Motivasi saya karena ingin belajar banyak hal, saling sharing sesama pebisnis, menambah ilmu terkait dunia usaha/kerja, dan mengetahui adanya peluang masa depan",1
110,Mendapatkan ilmu marketing dan melek dunia digital,0
111,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
112,"I could benefit from some outside perspective on how to package my services and, fine-tune my ideas on a niche.",0
113,networking to get new point of view for marketing my digital development services (berjejaring dan mendapatkan sudut pandang baru untuk memasarkan produk jasa pengembangan digital),0
114,ampliar mi red de alianzas y partners,0
115,Quiero una guía externa que vea mi negocio desde afuera con una perspectiva critica y sincera y que me ayude a descubrir el camino hacia la alta productividad y rentabilidad estable.,0
116,Ingin mendapatkan ilmu marketing online,0
117,Ingin mendapatkan ilmu marketing online,0
118,No encuentro la forma de iniciar mis proyectos,0
119,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
120,Motivasi saya mengikuti mentoring ini supaya saya mendapat mentor agar saya bisa dibantu untuk dapat arahan Usaha yang akan dijalankan akan segera direalisasikan.,1
121,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
122,My motivations to guide me through this journey whether as a digital marketer or launching a startup,1
123,RECIBIR AYUDA Y ORIENTACIONA DECUADA PARA AMPLIAR Y MEJORAR EL PROCESO DE MI EMPRENDIMIENTO,1
124,Que me de motivación  personal,1
125,Necesito el impulso para comenzar y las herramientas de otros profesionales para no cegarme con una idea y poder ver y empatizar con otras maneras de pensar.,1
126,Necesito apoyo ya que soy nuevo en el tema del emprendimiento,1
127,Hardwork and devotion,1
128,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
129,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
130,Necesito el impulso para comenzar y las herramientas de otros profesionales para no cegarme con una idea y poder ver y empatizar con otras maneras de pensar.,1
131,"I could benefit from some outside perspective on how to package my services and, fine-tune my ideas on a niche.",0
132,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
133,Necesito el impulso para comenzar y las herramientas de otros profesionales para no cegarme con una idea y poder ver y empatizar con otras maneras de pensar.,1
134,"My motivation is based on the fact that we want to be successful and the only way this can be achieved is by learning from those that have succeeded in our line of business.
We need their knowledge and expertise.",1
135,Motivasi saya ingin dapat merealisasikan bisnis ini dan harapannya dengan mentor saya bisa dapat memulai dan mengerti akan dunia bisnis.,1
136,"More interested in venture partners, at this time.",0
137,Motivasi nya ingin mengembangkan usaha saya kepada taraf yang lebih baik dan sehat,1
138,Hardwork and devotion,1
139,To boost inner confidence.,1
140,Apoyo en la búsqueda de capital inversionista,0
141,Ingin mendapatkan ilmu marketing online,0
142,No sé por dónde empezar con mis finanzas y cómo impulsar mis ventas.,0
143,"Linkage, Team work and networking for import and Export.",0
144,escuchar un punto de vista externo,0
145,Mendapatkan ilmu marketing dan melek dunia digital,0
146,"I would love to have a mentor help me grow and see things I don't know. I am internally motivated and not afraid to work hard but I hate spinning  my wheels with mistakes that through trial and error I learn were totally foolish or maybe weren't completely wrong but I don't know how to surgically examine the taken action and make the 1 or 2 tweaks necessary, doing that alone with limited or no results weighs on you over time no matter how gritty you are... that being said I am not going to stop. I will find a way and I know this attitude will help connect me the right people.",1
147,ampliar mi red de alianzas y partners,0
148,ampliar mi red de alianzas y partners,0
149,Apoyo en la búsqueda de capital inversionista,0
150,Motivasi nya ingin mengembangkan usaha saya kepada taraf yang lebih baik dan sehat,1
151,escuchar un punto de vista externo,0
152,Motivasi saya untuk dapat berdiskusi mengenai tahap tahapan untuk membuka sebuah usaha,1
153,No sé por dónde empezar con mis finanzas y cómo impulsar mis ventas.,0
154,Apoyo en la búsqueda de capital inversionista,0
155,"More interested in venture partners, at this time.",0
156,ampliar mi red de alianzas y partners,0
157,Apoyo en la búsqueda de capital inversionista,0
158,networking to get new point of view for marketing my digital development services (berjejaring dan mendapatkan sudut pandang baru untuk memasarkan produk jasa pengembangan digital),0
159,Hardwork and devotion,1
160,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
161,Necesito el impulso para comenzar y las herramientas de otros profesionales para no cegarme con una idea y poder ver y empatizar con otras maneras de pensar.,1
162,Ampliar mi perspectiva.,0
163,"I could benefit from some outside perspective on how to package my services and, fine-tune my ideas on a niche.",0
164,Lluvia de ideas,0
165,Guidance and frustration,0
166,"Integrity, Hardwork, Time Consciousn and Determination",1
167,escuchar un punto de vista externo,0
168,networking to get new point of view for marketing my digital development services (berjejaring dan mendapatkan sudut pandang baru untuk memasarkan produk jasa pengembangan digital),0
169,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
170,"More interested in venture partners, at this time.",0
171,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
172,Me gustaría tener una opinión externa acerca de mi negocio.,0
173,Ingin mendapatkan ilmu marketing online,0
174,Mentor ahli Selling-Marketing-Branding,0
175,Motivasi saya mengikuti mentoring ini supaya saya mendapat mentor agar saya bisa dibantu untuk dapat arahan Usaha yang akan dijalankan akan segera direalisasikan.,1
176,networking to get new point of view for marketing my digital development services (berjejaring dan mendapatkan sudut pandang baru untuk memasarkan produk jasa pengembangan digital),0
177,Ingin mendapatkan ilmu marketing online,0
178,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
179,Apoyo en la búsqueda de capital inversionista,0
180,"get a fresh outside look on my business, need to answer critical questions that help me gain new insights and improve my business",0
181,To boost inner confidence.,1
182,escuchar un punto de vista externo,0
183,Hardwork and devotion,1
184,No sé por dónde empezar con mis finanzas y cómo impulsar mis ventas.,0
185,Motivasi nya ingin mengembangkan usaha saya kepada taraf yang lebih baik dan sehat,1
186,Experiance,0
187,Motivasi nya ingin mengembangkan usaha saya kepada taraf yang lebih baik dan sehat,1
188,"Always half empty cup,",0
189,Aprender de la experiencia de otros,0
190,"Poder obtener asesoría personalizada de personas que tienen una visión externa a mi emprendimiento, lo que puede resultar en ver más fácilmente áreas de oportunidad que yo podría no estar viendo.",0
191,Motivasi saya mengikuti program ini adlah untuk menambah ilmu,1
192,To boost inner confidence.,1
193,Motivasi nya ingin mengembangkan usaha saya kepada taraf yang lebih baik dan sehat,1
194,Motivasi saya ingin dapat merealisasikan bisnis ini dan harapannya dengan mentor saya bisa dapat memulai dan mengerti akan dunia bisnis.,1
195,Siempre es necesario tenes una visión externa que nos permita ver las cosas desde otro punto de vista.,0
196,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
197,Apoyo en la búsqueda de capital inversionista,0
198,"I could benefit from some outside perspective on how to package my services and, fine-tune my ideas on a niche.",0
199,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
200,"The core motivation is to inspire and empower audiences by spotlighting the transformative stories of African leaders and creators. Working with interviewees offers an opportunity to co-create a narrative that challenges stereotypes, celebrates cultural heritage, and paves the way for future innovation and collaboration.",1
201,Aprender de la experiencia de otros,0
202,"I would love to have a mentor help me grow and see things I don't know. I am internally motivated and not afraid to work hard but I hate spinning  my wheels with mistakes that through trial and error I learn were totally foolish or maybe weren't completely wrong but I don't know how to surgically examine the taken action and make the 1 or 2 tweaks necessary, doing that alone with limited or no results weighs on you over time no matter how gritty you are... that being said I am not going to stop. I will find a way and I know this attitude will help connect me the right people.",1
203,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
204,Guidance and frustration,0
205,ampliar mi red de alianzas y partners,0
206,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
207,To boost inner confidence.,1
208,Ampliar contactos,0
209,Su experiencia es de mucha importancia para el avance,1
210,"I would love to have a mentor help me grow and see things I don't know. I am internally motivated and not afraid to work hard but I hate spinning  my wheels with mistakes that through trial and error I learn were totally foolish or maybe weren't completely wrong but I don't know how to surgically examine the taken action and make the 1 or 2 tweaks necessary, doing that alone with limited or no results weighs on you over time no matter how gritty you are... that being said I am not going to stop. I will find a way and I know this attitude will help connect me the right people.",1
211,Motivasi saya ingin dapat merealisasikan bisnis ini dan harapannya dengan mentor saya bisa dapat memulai dan mengerti akan dunia bisnis.,1
212,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
213,Motivasi saya ingin dapat merealisasikan bisnis ini dan harapannya dengan mentor saya bisa dapat memulai dan mengerti akan dunia bisnis.,1
214,Aprender de la experiencia de otros,0
215,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
216,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
217,"I could benefit from some outside perspective on how to package my services and, fine-tune my ideas on a niche.",0
218,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
219,ampliar mi red de alianzas y partners,0
220,I want ideas and money to start,0
221,Porque me cuesta un poco el hablar en público y salir de mi zona de confort,0
222,Need a nicely put together presentation or paper explaining what trying to do to attract funding,0
223,escuchar un punto de vista externo,0
224,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
225,Ingin mendapatkan ilmu marketing online,0
226,Hardwork and devotion,1
227,Ingin mendapatkan ilmu marketing online,0
228,Necesito el impulso para comenzar y las herramientas de otros profesionales para no cegarme con una idea y poder ver y empatizar con otras maneras de pensar.,1
229,escuchar un punto de vista externo,0
230,"Integrity, Hardwork, Time Consciousn and Determination",1
231,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
232,"I could benefit from some outside perspective on how to package my services and, fine-tune my ideas on a niche.",0
233,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
234,Hardwork and devotion,1
235,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
236,"My motivation is based on the fact that we want to be successful and the only way this can be achieved is by learning from those that have succeeded in our line of business.
We need their knowledge and expertise.",1
237,Motivasi nya ingin mengembangkan usaha saya kepada taraf yang lebih baik dan sehat,1
238,networking to get new point of view for marketing my digital development services (berjejaring dan mendapatkan sudut pandang baru untuk memasarkan produk jasa pengembangan digital),0
239,I need an investor for my business,0
240,Motivasi saya mengikuti mentoring ini supaya saya mendapat mentor agar saya bisa dibantu untuk dapat arahan Usaha yang akan dijalankan akan segera direalisasikan.,1
241,Su visión externa,0
242,Hardwork and devotion,1
243,Para adquirir experiencia en el mercado.,0
244,Mempunyai branding produk sendiri untuk usaha saya. Dan cukup dikenal dikalangan masyarakat.,0
245,Motivasi saya ingin dapat merealisasikan bisnis ini dan harapannya dengan mentor saya bisa dapat memulai dan mengerti akan dunia bisnis.,1
246,Requiero de alguien fuera de mi ciclo que me apoye con una visión distinta a fortalecer este emprendimiento,0
247,I need an investor for my business,0
248,"El adquirir nuevas ideas el poder ser evaluada mi conducta empresarial con otras visiones y optener así la mejora constante.
Ya que aunque mucho se sepa sobre algo siempre es necesaria las visiones externas para lograr perfeccionar sistemas y agilizar los logros.",0
249,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
250,"""I COME TO YOU NOT BRINGING MONEY, ONLY BRINGING OPPORTUNITIES""",0
251,I need an investor for my business,0
252,ampliar mi red de alianzas y partners,0
253,Aprender de la experiencia de otros,0
254,Apoyo en la búsqueda de capital inversionista,0
255,networking to get new point of view for marketing my digital development services (berjejaring dan mendapatkan sudut pandang baru untuk memasarkan produk jasa pengembangan digital),0
256,Hardwork and devotion,1
257,Hardwork and devotion,1
258,"Motivasi saya karena ingin belajar banyak hal, saling sharing sesama pebisnis, menambah ilmu terkait dunia usaha/kerja, dan mengetahui adanya peluang masa depan",1
259,"I could benefit from some outside perspective on how to package my services and, fine-tune my ideas on a niche.",0
260,Motivasi saya ingin dapat merealisasikan bisnis ini dan harapannya dengan mentor saya bisa dapat memulai dan mengerti akan dunia bisnis.,1
261,escuchar un punto de vista externo,0
262,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
263,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
264,"More interested in venture partners, at this time.",0
265,I need an investor for my business,0
266,"El adquirir nuevas ideas el poder ser evaluada mi conducta empresarial con otras visiones y optener así la mejora constante.
Ya que aunque mucho se sepa sobre algo siempre es necesaria las visiones externas para lograr perfeccionar sistemas y agilizar los logros.",0
267,"I could benefit from some outside perspective on how to package my services and, fine-tune my ideas on a niche.",0
268,To boost inner confidence.,1
269,Más que un mentor busco explorar sinergias,0
270,Motivation,1
271,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
272,Quiero una guía externa que vea mi negocio desde afuera con una perspectiva critica y sincera y que me ayude a descubrir el camino hacia la alta productividad y rentabilidad estable.,0
273,Necesito el impulso para comenzar y las herramientas de otros profesionales para no cegarme con una idea y poder ver y empatizar con otras maneras de pensar.,1
274,Necesito el impulso para comenzar y las herramientas de otros profesionales para no cegarme con una idea y poder ver y empatizar con otras maneras de pensar.,1
275,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
276,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
277,"My motivation is based on the fact that we want to be successful and the only way this can be achieved is by learning from those that have succeeded in our line of business.
We need their knowledge and expertise.",1
278,Motivation,1
279,"Esto potencia y fortalece el alma, la mente, el cuerpo y el espíritu construyendo una personalidad fortalecida para enfrentar los desafíos de emprender",1
280,networking to get new point of view for marketing my digital development services (berjejaring dan mendapatkan sudut pandang baru untuk memasarkan produk jasa pengembangan digital),0
281,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
282,My motivation is great,1
283,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
284,Hardwork and devotion,1
285,Motivasi saya ingin dapat merealisasikan bisnis ini dan harapannya dengan mentor saya bisa dapat memulai dan mengerti akan dunia bisnis.,1
286,Apoyo en la búsqueda de capital inversionista,0
287,Business Networking,0
288,Motivasi nya ingin mengembangkan usaha saya kepada taraf yang lebih baik dan sehat,1
289,Aprender de la experiencia de otros,0
290,Aprender de la experiencia de otros,0
291,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
292,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
293,Motivasi nya ingin mengembangkan usaha saya kepada taraf yang lebih baik dan sehat,1
294,Apoyo en la búsqueda de capital inversionista,0
295,"I could benefit from some outside perspective on how to package my services and, fine-tune my ideas on a niche.",0
296,Motivasi nya ingin mengembangkan usaha saya kepada taraf yang lebih baik dan sehat,1
297,"My motivation is based on the fact that we want to be successful and the only way this can be achieved is by learning from those that have succeeded in our line of business.
We need their knowledge and expertise.",1
298,Motivasi nya ingin mengembangkan usaha saya kepada taraf yang lebih baik dan sehat,1
299,Motivasi nya ingin mengembangkan usaha saya kepada taraf yang lebih baik dan sehat,1
300,"I could benefit from some outside perspective on how to package my services and, fine-tune my ideas on a niche.",0
301,ampliar mi red de alianzas y partners,0
302,"I would love to have a mentor help me grow and see things I don't know. I am internally motivated and not afraid to work hard but I hate spinning  my wheels with mistakes that through trial and error I learn were totally foolish or maybe weren't completely wrong but I don't know how to surgically examine the taken action and make the 1 or 2 tweaks necessary, doing that alone with limited or no results weighs on you over time no matter how gritty you are... that being said I am not going to stop. I will find a way and I know this attitude will help connect me the right people.",1
303,Me gustaría tener una opinión externa acerca de mi negocio.,0
304,Motivasi saya ingin dapat merealisasikan bisnis ini dan harapannya dengan mentor saya bisa dapat memulai dan mengerti akan dunia bisnis.,1
305,Find new ways to locate contractors that wants to understand the FIDIC mindset.,1
306,No sé por dónde empezar con mis finanzas y cómo impulsar mis ventas.,0
307,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
308,Ingin mendapatkan ilmu marketing online,0
309,Apoyo en la búsqueda de capital inversionista,0
310,I need an investor for my business,0
311,"More interested in venture partners, at this time.",0
312,Apoyo en la búsqueda de capital inversionista,0
313,escuchar un punto de vista externo,0
314,networking to get new point of view for marketing my digital development services (berjejaring dan mendapatkan sudut pandang baru untuk memasarkan produk jasa pengembangan digital),0
315,Apoyo en la búsqueda de capital inversionista,0
316,To boost inner confidence.,1
317,"Integrity, Hardwork, Time Consciousn and Determination",1
318,"My motivation is based on the fact that we want to be successful and the only way this can be achieved is by learning from those that have succeeded in our line of business.
We need their knowledge and expertise.",1
319,Hardwork and devotion,1
320,"I could benefit from some outside perspective on how to package my services and, fine-tune my ideas on a niche.",0
321,Complete my core objectives,1
322,"Linkage, Team work and networking for import and Export.",0
323,Motivasi nya ingin mengembangkan usaha saya kepada taraf yang lebih baik dan sehat,1
324,Guidance and frustration,0
325,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
326,I need an investor for my business,0
327,"My motivation is based on the fact that we want to be successful and the only way this can be achieved is by learning from those that have succeeded in our line of business.
We need their knowledge and expertise.",1
328,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
329,"My motivation is based on the fact that we want to be successful and the only way this can be achieved is by learning from those that have succeeded in our line of business.
We need their knowledge and expertise.",1
330,Motivasi nya ingin mengembangkan usaha saya kepada taraf yang lebih baik dan sehat,1
331,"My motivation is based on the fact that we want to be successful and the only way this can be achieved is by learning from those that have succeeded in our line of business.
We need their knowledge and expertise.",1
332,Que me de motivación  personal,1
333,networking to get new point of view for marketing my digital development services (berjejaring dan mendapatkan sudut pandang baru untuk memasarkan produk jasa pengembangan digital),0
334,"I could benefit from some outside perspective on how to package my services and, fine-tune my ideas on a niche.",0
335,"""I COME TO YOU NOT BRINGING MONEY, ONLY BRINGING OPPORTUNITIES""",0
336,"More interested in venture partners, at this time.",0
337,Ingin mendapatkan ilmu marketing online,0
338,Más que un mentor busco explorar sinergias,0
339,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
340,ampliar mi red de alianzas y partners,0
341,networking to get new point of view for marketing my digital development services (berjejaring dan mendapatkan sudut pandang baru untuk memasarkan produk jasa pengembangan digital),0
342,Ingin mendapatkan ilmu marketing online,0
343,Complete my core objectives,1
344,Ingin mendapatkan ilmu marketing online,0
345,Motivation,1
346,Hardwork and devotion,1
347,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
348,"My motivation is based on the fact that we want to be successful and the only way this can be achieved is by learning from those that have succeeded in our line of business.
We need their knowledge and expertise.",1
349,Necesito el impulso para comenzar y las herramientas de otros profesionales para no cegarme con una idea y poder ver y empatizar con otras maneras de pensar.,1
350,"To inject technical expertise, influence, network, investment, and visibility into our project.",0
351,Ingin mendapatkan ilmu marketing online,0
352,"My motivation is based on the fact that we want to be successful and the only way this can be achieved is by learning from those that have succeeded in our line of business.
We need their knowledge and expertise.",1
